OrderID;ProductCode;QuantityOrdered;PriceEach;OrderDate;City;Country
10145;S10_1678;45;83.26;8/25/2003 0:00;Pasadena;USA
10159;S10_1678;49;100;10.10.03 00:00;San Francisco;USA
10168;S10_1678;36;96.66;10/28/2003 0:00;Burlingame;USA
10180;S10_1678;29;86.13;11.11.03 00:00;Lille;France
10188;S10_1678;48;100;11/18/2003 0:00;Bergen;Norway
10201;S10_1678;22;98.57;12.01.03 00:00;San Francisco;USA
10211;S10_1678;41;100;1/15/2004 0:00;Paris;France
10223;S10_1678;37;100;2/20/2004 0:00;Melbourne;Australia
10237;S10_1678;23;100;04.05.04 00:00;NYC;USA
10251;S10_1678;28;100;5/18/2004 0:00;Newark;USA
10263;S10_1678;34;100;6/28/2004 0:00;Bridgewater;USA
10275;S10_1678;45;92.83;7/23/2004 0:00;Nantes;France
10285;S10_1678;36;100;8/27/2004 0:00;Cambridge;USA
10299;S10_1678;23;100;9/30/2004 0:00;Helsinki;Finland
10309;S10_1678;41;100;10/15/2004 0:00;Stavern;Norway
10318;S10_1678;46;94.74;11.02.04 00:00;Allentown;USA
10329;S10_1678;42;100;11/15/2004 0:00;NYC;USA
10341;S10_1678;41;100;11/24/2004 0:00;Salzburg;Austria
10361;S10_1678;20;72.55;12/17/2004 0:00;Chatswood;Australia
10375;S10_1678;21;34.91;02.03.05 00:00;Nantes;France
10388;S10_1678;42;76.36;03.03.05 00:00;New Bedford;USA
10403;S10_1678;24;100;04.08.05 00:00;Liverpool;UK
10417;S10_1678;66;100;5/13/2005 0:00;Madrid;Spain
10103;S10_1949;26;100;1/29/2003 0:00;Stavern;Norway
10112;S10_1949;29;100;3/24/2003 0:00;Lule;Sweden
10126;S10_1949;38;100;5/28/2003 0:00;Madrid;Spain
10140;S10_1949;37;100;7/24/2003 0:00;Burlingame;USA
10150;S10_1949;45;100;9/19/2003 0:00;Singapore;Singapore
10163;S10_1949;21;100;10/20/2003 0:00;NYC;USA
10174;S10_1949;34;100;11.06.03 00:00;South Brisbane;Australia
10183;S10_1949;23;100;11/13/2003 0:00;Philadelphia;USA
10194;S10_1949;42;100;11/25/2003 0:00;Lyon;France
10206;S10_1949;47;100;12.05.03 00:00;Vancouver;Canada
10215;S10_1949;35;100;1/29/2004 0:00;Burbank;USA
10228;S10_1949;29;100;03.10.04 00:00;Cambridge;USA
10245;S10_1949;34;100;05.04.04 00:00;New Haven;USA
10258;S10_1949;32;100;6/15/2004 0:00;Minato-ku;Japan
10270;S10_1949;21;100;7/19/2004 0:00;Chatswood;Australia
10280;S10_1949;34;100;8/17/2004 0:00;Torino;Italy
10291;S10_1949;37;100;09.08.04 00:00;Boras;Sweden
10304;S10_1949;47;100;10.11.04 00:00;Versailles;France
10312;S10_1949;48;100;10/21/2004 0:00;San Rafael;USA
10322;S10_1949;40;100;11.04.04 00:00;Nashua;USA
10333;S10_1949;26;100;11/18/2004 0:00;San Francisco;USA
